Diameter,run,Time,Stimulus
47.254999999999995,3,1.52,red
47.515,3,1.54,red
47.775000000000006,3,1.56,red
48.155,3,1.58,red
48.535,3,1.6,red
48.605,3,1.62,red
48.8275,3,1.6400000000000001,red
48.98,3,1.6600000000000001,red
49.155,3,1.6800000000000002,red
49.614999999999995,3,1.7000000000000002,red
49.9,3,1.7200000000000002,red
49.97,3,1.7400000000000002,red
50.095,3,1.7600000000000002,red
50.364999999999995,3,1.7800000000000002,red
50.635,3,1.8000000000000003,red
50.644999999999996,3,1.8200000000000003,red
50.945,3,1.8399999999999999,red
51.275,3,1.8599999999999999,red
51.445,3,1.88,red
51.64,3,1.9,red
51.894999999999996,3,1.92,red
52.1625,3,1.94,red
52.24,3,1.96,red
52.33,3,1.98,red
52.635,3,2,red
53.085,3,2.0200000000000005,red
53.120000000000005,3,2.04,red
53.195,3,2.0600000000000005,red
53.370000000000005,3,2.08,red
53.695,3,2.0999999999999996,red
53.870000000000005,3,2.12,red
53.91,3,2.1399999999999997,red
54.07,3,2.16,red
54.16,3,2.1799999999999997,red
54.235,3,2.2,red
54.235,3,2.2199999999999998,red
54.335,3,2.24,red
54.395,3,2.26,red
54.395,3,2.2800000000000002,red
54.43,3,2.3,red
54.43,3,2.3200000000000003,red
54.525000000000006,3,2.34,red
54.894999999999996,3,2.3600000000000003,red
55.010000000000005,3,2.38,red
55.09,3,2.4000000000000004,red
55.230000000000004,3,2.42,red
55.285,3,2.4400000000000004,red
55.285,3,2.46,red
55.334999999999994,3,2.4800000000000004,red
55.394999999999996,3,2.5,red
55.394999999999996,3,2.5200000000000005,red
55.415000000000006,3,2.54,red
55.42,3,2.5600000000000005,red
55.63,3,2.58,red
55.754999999999995,3,2.6000000000000005,red
55.769999999999996,3,2.62,red
55.97,3,2.6399999999999997,red
56.05,3,2.66,red
56.11,3,2.6799999999999997,red
56.205,3,2.7,red
56.394999999999996,3,2.7199999999999998,red
56.629999999999995,3,2.74,red
56.68,3,2.76,red
56.715,3,2.7800000000000002,red
56.760000000000005,3,2.8,red
56.760000000000005,3,2.8200000000000003,red
56.795,3,2.84,red
56.870000000000005,3,2.8600000000000003,red
56.870000000000005,3,2.88,red
56.995000000000005,3,2.9000000000000004,red
56.995000000000005,3,2.92,red
56.995000000000005,3,2.9400000000000004,red
57.065,3,2.96,red
57.115,3,2.9800000000000004,red
57.120000000000005,3,3,red
57.16,3,3.0200000000000005,red
57.205,3,3.04,red
57.205,3,3.0600000000000005,red
57.365,3,3.08,red
57.4,3,3.1000000000000005,red
57.43,3,3.12,red
57.4,3,3.1399999999999997,red
57.43,3,3.16,red
57.61,3,3.1799999999999997,red
57.665,3,3.2,red
57.685,3,3.2199999999999998,red
57.695,3,3.24,red
57.695,3,3.26,red
57.825,3,3.2800000000000002,red
57.959999999999994,3,3.3,red
57.959999999999994,3,3.3200000000000003,red
57.98,3,3.34,red
58,3,3.3600000000000003,red
58.15,3,3.38,red
58.195,3,3.4000000000000004,red
58.209999999999994,3,3.42,red
58.25,3,3.4400000000000004,red
58.25,3,3.46,red
58.265,3,3.4800000000000004,red
58.32,3,3.5,red
58.345,3,3.5200000000000005,red
58.375,3,3.54,red
58.375,3,3.5600000000000005,red
58.42,3,3.58,red
58.485,3,3.6000000000000005,red
58.485,3,3.62,red
58.519999999999996,3,3.6399999999999997,red
58.519999999999996,3,3.66,red
58.519999999999996,3,3.6799999999999997,red
58.485,3,3.7,red
58.545,3,3.7199999999999998,red
58.545,3,3.74,red
58.545,3,3.76,red
58.595,3,3.7800000000000002,red
58.6,3,3.8,red
58.6,3,3.8200000000000003,red
58.6,3,3.84,red
58.6,3,3.8600000000000003,red
58.615,3,3.88,red
58.64,3,3.9000000000000004,red
58.945,3,3.92,red
58.945,3,3.9400000000000004,red
58.955,3,3.96,red
58.955,3,3.9800000000000004,red
59.010000000000005,3,4,red
59.14,3,4.0200000000000005,red
59.14,3,4.04,red
59.195,3,4.0600000000000005,red
59.195,3,4.08,red
59.195,3,4.1000000000000005,red
59.32,3,4.12,red
59.32,3,4.140000000000001,red
59.32,3,4.16,red
59.32,3,4.18,red
59.345,3,4.2,red
59.345,3,4.22,red
59.345,3,4.24,red
59.32,3,4.26,red
59.345,3,4.28,red
59.32,3,4.3,red
59.32,3,4.32,red
59.32,3,4.34,red
59.32,3,4.36,red
59.345,3,4.38,red
59.345,3,4.4,red
59.345,3,4.42,red
59.345,3,4.44,red
59.239999999999995,3,4.46,red
59.315,3,4.48,red
59.345,3,4.5,red
59.355000000000004,3,4.5200000000000005,red
59.355000000000004,3,4.54,red
59.345,3,4.5600000000000005,red
59.345,3,4.58,red
59.315,3,4.6000000000000005,red
59.315,3,4.62,red
59.315,3,4.640000000000001,red
59.355000000000004,3,4.66,red
59.42,3,4.68,red
59.42,3,4.7,red
59.510000000000005,3,4.72,red
59.510000000000005,3,4.74,red
59.510000000000005,3,4.76,red
59.510000000000005,3,4.78,red
59.510000000000005,3,4.8,red
59.510000000000005,3,4.82,red
59.584999999999994,3,4.84,red
59.584999999999994,3,4.86,red
59.585,3,4.88,red
59.730000000000004,3,4.9,red
59.739999999999995,3,4.92,red
59.739999999999995,3,4.94,red
59.739999999999995,3,4.96,red
59.739999999999995,3,4.98,red
59.754999999999995,3,5,red
59.775000000000006,3,5.0200000000000005,red
59.834999999999994,3,5.04,red
59.849999999999994,3,5.0600000000000005,red
59.849999999999994,3,5.08,red
59.834999999999994,3,5.1000000000000005,red
59.849999999999994,3,5.12,red
59.95,3,5.140000000000001,red
59.95,3,5.16,red
59.95,3,5.18,red
59.985,3,5.2,red
